,Simplified,Pinyin,Meaning
457,开展,kāizhǎn,"develop, launch, unfold"
458,谘商,zīshāng,"confer, discuss, negotiate"
459,週年,zhōunián,m.[standard]
460,缘故,yuángù,"score, grounds, reason, cause, sake"
461,道家,dàojiā,"Taoist, Taoist school, Daoist school, Daoist religion, Daoist school/religion, religion"
462,震荡,zhèndàng,"shake, shock, quake"
463,号称,hàochēng,"be known as, claim to be"
464,睡着,shuìzháo,"asleep, fall_asleep, go_off, nod off, drift off, doze off, fall asleep, dope off, flake, drowse off, conk, dormant, flake out, drop off"
465,增长,zēngzhǎng,"increase, grow"
466,报案,bàoàn,report case to security authorities
467,黑白,hēibái,"black and white, right and wrong, good and bad"
468,号召,hàozhào,"call, appeal (for supporters)"
469,充足,chōngzú,ample
470,疼痛,téngtòng,"pain, soreness, fester, suffer, hurt, ache, sore"
471,简称,jiǎnchēng,be called sth. for short
472,脏,zāng,"dirty, squalid, smudge, filthy, smutch, blur, smear"
473,签署,qiānshǔ,sign/initial (a document)
474,签证,qiānzhèng,visa
475,体操,tǐcāo,"jerk, physical exertion, workout, exercise, physical_exercise, gymnastic, calisthenics, exercising, gymnastics, physical exercise, gym"
476,搬,bān,"copy mechanically, remove, apply indiscriminately, take away, transfer, move, move (house)"
477,真诚,zhēnchéng,"sincere, genuine, true"
478,衰退,shuāituì,"fail, decline"
479,陈情,chénqíng,state the situation/truth
480,高职,gāozhí,"professional school, college, quality, technical"
481,绝,jué,"extremely, most, absolutely, in the least, by any means, on any account"
482,乡民,xiāngmín,"countryside, villager"
483,新埔,xīnbǔ,Hsin-pu (a town in Taiwan)
484,无力,wúlì,"powerless, feel weak, lack strength, incapable"
485,媒介,méijiè,"vehicle, transmission, media, intermediary, instrumentality, means, channel, ministry, mediacy, mediateness, agency, meeja, implement, medium"
486,郑,zhèng,"Zheng, Surname"
487,贵,guì,det.: your (courteous usage)
488,计有,jìyǒu,"calculate in advance, estimate"
489,无从,wúcóng,unable to
490,园地,yuándì,"special page in periodical, special section in periodical, park/garden area, special section, croft, page in periodical, garden area, special section/page in periodical, garden plot, park area, field, scope, park"
491,灿烂,cànlàn,"brilliant, glitter, splendid, resplend, resplendent, magnificent"
492,墨西哥,mòxīgē,Mexico
493,课本,kèběn,"text edition, textbook, text, school text, schoolbook"
494,抗日,kàngrì,resistance against Japan
495,领土,lǐngtǔ,"demesne, country, nation, realm, soli, landgrave, princedom, territory, emirate, domain, state, seigneury, estate, seignory, territoriality, acres, possession, signory, territorial, province, landed estate, dominion, land"
496,尴尬,gāngà,"awkward, embarrassed"
497,齐全,qíquán,"all in readiness, assort, complete"
498,荣获,rónghuò,have the honor to win
499,学界,xuéjiè,"educational, educational circles, academic circles, educational/academic circles, literati"
500,运,yùn,"transportation, wield, transport, revolve, utilize, use, dribble, bear, carry, utilization"
501,定案,dìngàn,"pass, decide on, reach verdict"
502,地域,dìyū,"tract, area, latitude, quarter, territory, climate, region, scope, district, terrain, climactic"
503,外部,wàibù,"outer, surface, external, outwall, outside, exterior"
504,门诊,ménzhěn,outpatient service
505,存取,cúnqǔ,access (data)
506,宜兰县,yílánxiàn,I-Lan (county of Taiwan)
507,列车,lièchē,train
508,多样,duōyàng,"diverse, multiform, various"
509,抗日,kàngrì,resistance against Japan
510,存取,cúnqǔ,access (data)
511,来访,láifǎng,come to visit/call
512,成份,chéngfèn,"composition, ingredient, one's profession or economic status, component part, part, chemistry, constituent, one's class status, component, note"
513,衰退,shuāituì,"fail, decline"
514,来访,láifǎng,come to visit/call
515,连上,liánshàng,"link, connect"
516,计较,jìjiào,"argue, arguement, wrangle, care, dispute, think over, haggle over, haggling over, mind, fuss about, discuss in minute detail"
517,金瓜石,jīnguāshí,a scenic spots in north Taiwan
518,门诊,ménzhěn,outpatient service
519,后遗症,hòuyízhèng,"aftereffect, hangover, sequela, sequelae"
520,玫瑰,méiguī,"rosebush, rose"
521,科学园区,kēxuéyuánqū,Sciense-Based Industrial Park
522,负荷,fùhè,"load, charge, weight"
523,包装,bāozhuāng,"pack, dress up"
524,派出所,pàichūsuǒ,"police_station, police headquarters, police substation, police office, local police station, station house, substation, police station"
525,抬,tái,"lift, betray, carry (together), raise, carry, argue for the sake of arguing"
526,流氓,liúmáng,"roughscuff, rip, yobbo, badmash, swashbuckler, rascal, riffraff, scamp, raff, rapscallion, rogue, rowdy, hooliganism, cur, picaroon, varmint, yobo, ruffian, hector, roughneck, gaolbird, scalawag, gorilla, no-good, scallywag, hoodlum, limmer, tearaway, blackguard, picaro, hooligan, hessian, bullyboy, rascallion, indecency, bully, plug-ugly, shoulder-hitter, dingbat, caird, tough, varlet, sc"
527,尴尬,gāngà,"awkward, embarrassed"
528,言语,yányǔ,"spoken language, speech"
529,升值,shēngzhí,"revalue, appreciate"
530,四川,sìchuān,"Szechwan, Szechuan, Sichuan province, Sichuan"
531,不及,bùjí,less than
532,加油,jiāyóu,"gas, lubricate, oil, refuel, gas up, embolden, accelerate, lubrication, fuel, cheer, recreate, hearten, make an extra effort"
533,外型,wàixíng,"profile, contour, appearance, external form"
534,大气,dàqì,"atmosphere, air, grand air, heavy breathing"
535,应该,yīnggāi,"right, proper"
536,聆听,língtīng,"hear, listen, listen carefully, breathe_in, listen respectfully"
537,猛,měng,"suddenly, abruptly"
538,素材,sùcái,"material, source material, medium"
539,深思,shēnsī,"ruminate, politic, chew, ponder deeply, consider carefully, speculate, bethink, rumination, chew the cud, perpend"
540,脖子,bózi5,"cervix, neck"
541,书包,shūbāo,"bag, book bag, satchel, schoolbag"
542,捧,pěng,"hold/carry sth. level in both hands, boost, boast, exalt, flatter"
543,理所当然,lǐsuǒdāngrán,"of course, naturally"
544,划分,huàfēn,"divide, differentiate"
545,通,tōng,"unimpeded, unblocked"
546,国际性,guójìxìng,"international, internationalism, international character, internationality"
547,规律,guīlù,"law, regular pattern"
548,速率,sùlù,"velocity, speed, rate"
549,省籍,shěngjí,native/birth place
550,稀饭,xīfàn,"gruel, rice/millet gruel, rice, congee, porridge, millet gruel, rice gruel"
551,阿里山,ālǐshān,A-Li mountain
552,发音,fāyīn,"pronunciation, articulation"
553,极度,jídù,"extremely, plaguey, exceedingly, deadly, vitally, to the utmost, passing, plaguily, badly, plaguy"
554,划分,huàfēn,"divide, differentiate"
555,照明,zhàomíng,illuminate
556,开放式,kāifàngshì,be open to general public or outside world
557,禁忌,jìnjì,"tabu, vetanda, taboo, nono, contraindication"
558,场景,chángyǐng,"stage set, set, scenery, spectacle, scene, setting, set decoration"
559,照明,zhàomíng,illuminate
560,光碟机,guāngdiéjī,CD ROM
561,吸引力,xīyǐnlì,"chemical attraction, seduction, affinity, fascination, charm, prestige, attractive feature, traction, attractive force, drawing power, appeal, magnetism, attractiveness, appealingness, attraction"
562,光芒,guāngmáng,"ray_of_light, rays of light, brilliant ray, radiance"
563,批判,pīpàn,critique
564,光明,guāngmíng,"bright, promising, openhearted, guileless"
565,行走,xíngzǒu,"mooch, tread, go, make, navigate, go on foot, walk"
566,低廉,dīlián,"cheap, low-priced"
567,改成,gǎichéng,"change ... into, turn... into, change to"
568,冷气,lěngqì,air conditioning
569,冰箱,bīngxiāng,"frig, electric refrigerator, fridge, freezer, refrigerator, deepfreeze, icebox, reefer, cooler, refrigeratory"
570,兼具,jiānjù,"unite, have both...and..."
571,多余,duōyū,"spare, redundant, unnecessary, superfluous, uncalled-for, surplus"
572,致词,zhìcí,make a speech
573,多多,duōduō,more
574,自私,zìsī,"selfish, self-centered"
575,亲近,qīnjìn,"hobnob, hang out, affiliate, close, be close to, know, be on intimate terms with, intimate"
576,保证,bǎozhèng,guarantee
577,洽询,qiàxún,talk over with
578,保,bǎo,"keep, maintenance, preserve soil moisture, stand guarantor, defend, protection, ensure, stand guarantor for sb., preserve, preservation, warrant, bail, defence, protect, maintain, seek, guarantee"
579,附,fù,"comply with, agree to, appose, attachment, enclose, get close to, enclosure, depend on, add, be near, rely on, attach"
580,致词,zhìcí,make a speech
581,办事处,bànshìchù,"office, agency"
582,封面,fēngmiàn,"lid, book binding, title page of thread-bound book, front cover, front and back cover of book, back, cover, binding, title page"
583,自称,zìchēng,"purport, claim to be, give_out, profess, call oneself"
584,小子,xiǎozi5,"boy, guy, fellow"
585,鉴于,jiànyū,"conj.: in view of, seeing that"
586,瞪,dèng,"open wide, glom, stare, open (one's eyes) wide, stare at, glower, open one's eyes wide, glare"
587,驱动,qūdòng,"prompt, urge, spur on, drive"
588,丛林,cónglín,"underbrush, chaparral, bosquet, brake, bosk, jungle, forest, copse, jungly, brushwood, grove, thickset, underwood, thicket, mott, Budd. monastery"
589,显示出,xiǎnshìchū,"demonstrate, manifest, reveal, display, show"
590,卅,sà,det.: thirty
591,方针,fāngzhēn,"policy, guiding principle"
592,考古学,kǎogǔxué,"archeology, archaeology, archaeological, palaeology, paleology"
593,上游,shàngyóu,"upper reaches of river, advanced position"
594,蟑螂,zhāngláng,"blackbeetle, Asiatic cockroach, oriental cockroach, oriental roach, Blatta orientalis, cockroach, roach"
595,户籍,hùjí,"census register, registered permanent residence"
596,公家,gōngjiā,state/public side
597,废纸,fèizhǐ,wastepaper
598,精华,jīnghuá,"elite, prime, cream, plum, wale, goodness, distillation, substance, pink, quintessence, distillate, flower, extract, essence, gem, pick, marrow, soul, elixir"
599,获利,huòlì,profit
600,唢呐,suǒnà,trumpet-like wind instrument
601,增多,zēngduō,increase (in number/quantity)
602,醒,xǐng,"waken, come to, wake up, sober up, be clear in mind, regain consciousness, wake, be awake, awaken, arouse, come alive, awake, be striking to the eye"
603,增多,zēngduō,increase (in number/quantity)
604,自私,zìsī,"selfish, self-centered"
605,说明会,shuōmínghuì,"news conference, briefing"
606,莲花,liánhuā,"sacred lotus, lotus, Nelumbo nucifera, lotus flower, Indian lotus"
607,下游,xiàyóu,"lower reaches (of river), lower level"
608,剧情,jùqíng,"story line, story, plot, gut"
609,回档,huídǎng,rise again (after a fall); pick up
610,匹,pī,m.[general]
611,一连,yīlián,"in a row, in succession, running"
612,召集,zhàojí,"call together, convene"
613,正视,zhèngshì,"face squarely, face, face up to, look squarely at, envisage"
614,擦,cā,"swab, shave, spread on, scrape, apply sth. on, spread sth. on, touch lightly, wipe, grate, rub, put/spread on, brush past, brush, obliterate, chafe, efface, sweep, scratch, fray, put on, apply, besmear, put, polish, scrape into shreds, fret, scrub, mop, erase"
615,废除,fèichú,"abolish, abrogate, repeal"
616,蒋公,jiǎnggōng,Kuomingtang party leader and head of Nationalist Government in mainland China and Taiwan
617,环保署,huánbǎoshǔ,Environmental Protection Administration
618,实体,shítǐ,"essence, reality, entity, substantive, substantiality, substantialness, existence, substratum, noumenon, substance, materiality"
619,写实,xiěshí,"paint realistically, realistic, write, write realistically, write or paint realistically"
620,摇头,yáotóu,shake one's head
621,婆婆,pópó,"husband's mother, mother-in-law, maternal grandmother"
622,介词,jiècí,preposition
623,牛肉,nióuròu,beef
624,父子,fùzǐ,father and son
625,片子,piànzi5,"a roll of film, film, movie, record, album"
626,充电,chōngdiàn,"charge, electricize, refresh"
627,士兵,shìbīng,rank-and-file soldiers
628,旗下,qíxià,those under one's command
629,本能,běnnéng,"whim, appetence, vagary, instinct, instinctive, native ability, inherent aptitude, impulse, caprice, faculty"
630,学人,xuérén,"scholar, letters, student, learned person"
631,谱,pǔ,"musical notation, table, chart, design, guide"
632,卖给,màigěi,sell
633,战略,zhànluè,"stratagem, tactical, strategics, tactics, strategy"
634,选票,xuǎnpiào,ballot
635,政经,zhèngjīng,politics and economy
636,副院长,fùyuànzhǎng,"president (of museum, subdean, subprincipal, etc.), institute, vice-director"
637,国产,guóchǎn,"made in China, made in our country, make domestically"
638,曲目,qǔmù,title of music
639,就此,jiùcǐ,"at this point, now, here and now, thus, thereon"
640,强度,qiángdù,"strength, intension, kick, degree, emphasis, intensity, depth, intensiveness"
641,掩埋场,yǎnmáichǎng,"nuisance ground, scrap heap"
642,政务,zhèngwù,"government affairs/administration, administration, government administration, affairs of state, government affairs"
643,风情,fēngqíng,"demeanour, flavor, information about wind, local customs, bearing, feelings, flirtatious expressions, amorous feelings"
644,前后,qiánhòu,"front and rear, around or about, altogether"
645,坐下来,zuòxiàlái,sit down
646,奇妙,qímiào,"wonderful, marvelous"
647,居多,jūduō,be in majority
648,有线电视,yǒuxiàndiànshì,"cable_television, cable television, cable system, narrowcast, cable television service, cable, cable TV"
649,绝种,juézhǒng,"become extinct, sterilize, die out"
650,留给,liúgěi,retain/reserve for
651,男朋友,nánpéngyǒu,boyfriend
652,违背,wéibèi,"violate, sin, go_against, infringe, go against, violation, belie, transgress, contravene, disobey, breach, break, run counter to"
653,开课,kāikè,"give a course, teach a subject, school begins"
654,阳台,yángtái,"veranda, pergola, patio, terrace, mirador, trysting place, balcony, gallery, piazza, gazebo, deck, verandah"
655,嫌犯,xiánfàn,suspect
656,处分,chǔfèn,punishment
657,刺,cì,"stab, prick, assassinate, irritate, stimulate, criticize"
658,把握,bǎwò,"assurance, certainty"
659,朱,zhū,"cinnabar, Zhu, Surname"
660,吃亏,chīkuī,"get the worst of it, come to grief, suffer loss, suffer losses"
661,进军,jìnjūn,"march, advance, advance (as of troops)"
662,盲目,mángmù,blind
663,长辈,zhǎngbèi,"seniority, better, elder, superior, senior, elder member of family, eldership, elder generation, superordinate, higher-up"
664,病房,bìngfáng,"sickroom, ward, hospital ward, hospital room"
665,社交,shèjiāo,"social_intercourse, converse, social interaction, social contact, interaction, social contact/interaction, coterie, sociality, commerce"
666,破产,pòchǎn,"go bankrupt, come to naught"
667,采行,cǎixíng,"phase, adopt, employ, select for use"
668,起,qǐ,m.[event]
669,莫,mò,"not, be/do not"
670,船只,chuánzhī,"boat, watercraft, marine, ship, vessel"
671,都会区,dūhuìqū,"city, metropolis"
672,习俗,xísú,"mores, custom, form, consuetudinary, institute, social custom, Sunna, convention, convenance, consuetude, conventionalism, ways, respectability, usage, manners, consuetudinal, conventionality"
673,音量,yīnliàng,"intensity, volume, quantity, loudness, volume of sound"
674,自,zì,personally
675,破产,pòchǎn,"go bankrupt, come to naught"
676,托儿所,tuōérsuǒ,"nursery school, foundling hospital, cr#4 eche, child-care centre, day_nursery, nursery, day care center, day care, day nursery, daycare, creche, cr#4eche, child-care center, play group, farm, preschool, nursery_school, playschool"
677,台独,táidú,Independence of Taiwan
678,发育,fāyū,"grow, develop"
679,足球,zúqiú,"soccer, football"
680,目睹,mùdǔ,"behold, see with one's own eyes, witness"
681,名牌,míngpái,"nameplate, name tag"
682,沙乌地阿拉伯,shāwūdìālābó,Saudi Arabia
683,店面,diànmiàn,"commodity section, storefront, parlor, shopfront"
684,沙,shā,"loam, Sha, sand, Surname, sth. granulated, sandy"
685,哼,hēng,humph!
686,界限,jièxiàn,"compass, ceiling, bounds, demarcation line, boundary, bourn, tether, purlieu, demarcation, precinct, pale, circumscription, borderland, limits, bound, ambit, butting, Rubicon, terminus, terminal point, confines, end, dividing line, extent, verge, terminus ad quem, limit, division, marge"
687,枝,zhī,m.[general]
688,红树林,hóngshùlín,"black mangrove, Rhizophora mangle, Avicennia marina, mangrove"
689,后人,hòurén,"posperity, descendants, posterity, later generations"
690,容积率,róngjīlù,proportion
691,招,zhāo,m.[general]
692,何不,hébù,why not
693,一口气,yīkǒuqì,"without a break, at one go, in one breath, holus-bolus"
694,共同体,gòngtóngtǐ,"community, integration"
695,表,biǎo,"timepiece, timekeeper, watch, ticker"
696,漫长,màncháng,"very long, endless"
697,精英,jīngyīng,"quintessence, flower, broth of a boy, elite, broth of a man, aristocracy, essence, cream, powerhouse"
698,暂停,zhàntíng,"suspense, suspended, suspend, intermit, set aside, discontinue, remit, stop, suspension, pause, break, time-out"
699,整顿,zhěngdùn,"rectify, reorganize"
700,暗示,ànshì,"(drop a) hint, suggest"
701,外公,wàigōng,maternal grandfather
702,提议,tíyì,"propose, suggest"
703,露,lù,"betray, betrayal, appear, reveal, show"
704,镇长,zhènzhǎng,town headman
705,警察局,jǐngchájú,"police_station, copshop, station, police bureau, can, police, kotwalee, tana, the police"
706,骑士,qíshì,"equestrian, caballero, carpet knight, rider, cavalier, knight, knighthood, chevalier"
707,联军,liánjūn,allied forces
708,继承,jìchéng,"inherit, carry on"
709,双向,shuāngxiàng,"bipartite, double-edged, two-sided, bidirectional, double-faced"
710,日军,rìjūn,Japanese Army
711,报酬,bàochóu,"emolument, reward, fee, recompense, earnings, gratuity, requital, retribution, price, harvest, remuneration, quittance, pay, consideration, salary, compensation, honorarium, payment, meed, gratification, wage, guerdon"
712,发育,fāyū,"grow, develop"
713,程,chéng,"distance, journey, procedure, order, regulation, rule"
714,新任,xīnrèn,newly appointed
715,开花,kāihuā,"burst forth, flower, bloom, split apart, explode, blossom, effloresce, unfold, feel elated, break apart, blow"
716,慈悲,cíbēi,"mercy, benevolence, pity"
717,饲养,sìyǎng,raise (animals/etc.)
718,栖息,qīxí,"inhabit, alight, locate, dwell, rest (of birds), perch, settle, sit, light, relocate, halt, roost, rest"
719,试试,shìshì,"try, assay, try out, have a try, attempt, essay, sample, seek, taste"
720,诠释,quánshì,"annotation, interpretation"
721,绝大多数,juédàduōshù,"det.: most of, majority"
722,报到,bàodào,"check in, register, registration, report for duty, appear, report, check_in"
723,损失,sǔnshī,lose
724,极端,jíduān,"extreme, exceeding"
725,爱护,àihù,"cherish, treasure, take good care of"
726,微,wéi,slightly
727,脑海,nǎohǎi,"brain, mind"
728,琴,qín,"qin, a seven-stringed plucked instrument, general name for stringed instruments, zither-like instrument, general name for certain musical instruments"
729,饲养,sìyǎng,raise (animals/etc.)
730,动向,dòngxiàng,"set, development, tendency, trend, movement, drift"
731,精美,jīngměi,"exquisite, elegant"
732,班长,bānzhǎng,"monitor, (work) team leader, squad leader, team leader, class monitor"
733,创立,chuànglì,"found, originate"
734,微笑,wéixiào,smile
735,脑筋,nǎojīn,"way of thinking, ideas, head, mind, skull, brains"
736,雷达,léidá,"radiolocator, radiodetector, locator, microwave radar, radiolocation, early warning radar, radio detection and ranging, radar"
737,墨,mò,"learning, Chinese ink, ink stick, Mohist School, Mexico, Mohism, ink, handwriting, ink cake, Surname, China ink"
738,整修,zhěngxiū,"renovate, recondition"
739,踩,cǎi,"tread, tramp, tromp, scrunch, trample, walk, step, step on"
740,实在,shízài,"true, real, honest, dependable"
741,精美,jīngměi,"exquisite, elegant"
742,发现,fāxiàn,discovery
743,整修,zhěngxiū,"renovate, recondition"
744,报表,bàobiǎo,"forms for reporting statistics, statement, forms for reporting statistics/etc., forms for reporting etc., report form, etc."
745,讽刺,fèngcì,"satirize, mock"
746,中毒,zhòngdú,"poison, taint, be poisoned"
747,下跌,xiàdié,"fall, decline, decrease"
748,切除,qiēchú,"excise, resect"
749,片段,piànduàn,"part, extract, fragment"
750,平方公尺,píngfānggōngchǐ,m.[standard]
751,公约,gōngyuē,"convention, pact, joint pledge"
752,火灾,huǒzāi,"fire disaster, conflagration"
753,不好意思,bùhǎoyìsī,"embarrassed, be ill at ease, find it embarrassing, feel embarrassed"
754,趋向,qūxiàng,tend/incline to
755,樱花,yīnghuā,oriental cherry
756,讽刺,fèngcì,"satirize, mock"
757,备受,bèishòu,fully experience (good or bad)
758,来往,láiwǎng,"associate, contact"
759,法,fà,France
760,灾害,zāihài,"tragedy, cataclysm, visitation, fatality, ravage, catastrophe, disaster, suffering, calamity"
761,何以,héyǐ,"why, wherefor, why?, wherefore, how come, how?, whereto, how"
762,奇特,qítè,"unusual, geezer, queer, exotic, peculiar"
763,沙国,shāguó,short of Saudi Arabia
764,待,dāi,stay
765,抱,bào,hold (a particular opinion or belief)
766,俄罗斯,èluósī,"Russia, Russians"
767,当中,dāngzhōng,in the middle/center
768,性情,xìngqíng,"constitution, fibre, aptness, acerbity, fiber, affection, temper, disposition, individuality, blood, streak, temperament"
769,注意力,zhùyìlì,"mind, attention, concentration"
770,备受,bèishòu,fully experience (good or bad)
771,做完,zuòwán,"get_over, fulfill, finish off, mop_up, get over, mop up, complete, clear up, finish up, polish_off, knock_off, get through, accomplish, polish off"
772,基准,jīzhǔn,"guideline, foundation, base, norm, standard, criterion, postulate, fundament, principle, groundwork, modulus, yardstick, benchmark, standard criterion, module, cornerstone, touchstone, datum, basis, fiducial"
773,规程,guīchéng,"rules, rules of order, parliamentary law, rule, regulation, regulations, parliamentary procedure, order"
774,伞,sǎn,"fimbria, brolly, sth. shaped like an umbrella, umbrella, mush, gamp, bumbershoot"
775,打败,dǎbài,"rout, outplay, whip, scupper, wallop, mop up, finish, suffer a defeat, overrule, overwhelm, flog, rack up, whop, be beaten, overpower, subdue, overmatch, snooker, be defeated, larrup, outfight, overmaster, floor, whup, knock_off, best, drub, defeat, euchre, confound, lick, fall, outrival, worst, overthrow, convince, vanquish, beat, pip"
776,资讯业,zīxùnyè,information technology
777,创立,chuànglì,"found, originate"
778,微笑,wéixiào,smile
779,买卖,mǎimài,"do business, carry on trade"
780,意念,yìniàn,"consciousness, will, motif, thing, intellection, thought, impression, idea"
781,穿过,chuānguò,"thread, pass through, traverse, penetrate, hook, go through, riddle, pierce, twist, go across, cleave, pass, lace, put_through, lace up, cut_through, cut across, cross, break, shoot"
782,趋向,qūxiàng,tend/incline to
783,精密,jīngmì,"accurate, delicate, precise"
784,广义,guǎngyì,broad sense
785,着急,zhāojí,"worry, feel anxious"
786,收回,shōuhuí,"take back, call in, recall, withdraw, countermand"
787,补偿,bǔcháng,"compensate, make up"
788,欺负,qīfù,"browbeat, take advantage of, pick on"
789,跌破,diépò,"fall, drop"
790,区隔,qūgé,"differentiate, set apart"
791,揭开,jiēkāi,"open, disclose, resolve, unclose, uncover, revelation, reveal, unveil, bring out"
792,选用,xuǎnyòng,select and use/apply
793,盛,shèng,"flourishing, prosperous, vigorous, energetic, magnificent, grand, abundant, plentiful, popular, widespread"
794,得很,de5hěn,"very, quite, awfully"
795,株,zhū,"stub, individual plant, stem of a plant, plant, trunk of tree, stem of plant, trunk of a tree, m.[general],"
796,被单,bèidān,(bed) sheet
797,财经,cáijīng,finance and economics
798,患,huàn,contract (an illness)
799,婚纱,hūnshā,"gown, wedding dress"
800,教官,jiàoguān,"drillmaster, drill master, instructor, military instructor, schoolmaster"
801,感冒,gǎnmào,catch cold
802,干涉,gānshè,"interfere, intervene, meddle"
803,关闭,guānbì,"close, shut (down)"
804,联队,liánduì,"wing (of air force), league, wing, regiment"
805,有一点,yǒuyìdiǎn,a little bit
806,不符,bùfú,be inconsistent (with)
807,小鸟,xiǎoniǎo,small bird
808,世代,shìdài,"generation, period, epoch"
809,调适,tiáoshì,adjust
810,化妆,huàzhuāng,"make_up, bepaint, masquerade, put on make-up, make up, apply makeup, titivate"
811,融入,róngrù,"melt, thaw, blend, merge"
812,本事,běnshì,"literary source material, know-how, proficiency, skill, prowess, this matter, ability, capability"
813,龙山寺,lóngshānsì,Lung-Shan Temple
814,调适,tiáoshì,adjust
815,摧毁,cuīhuǐ,"take_out, blot_out, bang up, blast, devastate, mow_down, zap, tobreak, wreck, smash up, bust up, smite, destroy, bust, demolish, knock_down, destruction, ravage, unbuild, liquidate, smash, deflower, knock_off, break, wrack"
816,对岸,duìàn,"the opoosite shore, the other side, other side of river"
817,浓度,nóngdù,"vividness, density, saturation, consistency, depth, intensity, thickness, deepness, fulness, chroma, concentration, consistence"
818,选用,xuǎnyòng,select and use/apply
819,稀有,xīyǒu,"rare, unusual"
820,充斥,chōngchì,"flood, congest, be full of"
821,戒,jiè,"keep off, guard against, drop, keep from, stop, refrain from, desist from, forbear from, abstain from, exhort, avoid, admonition, give up, admonish, exhortation, warn"
822,性行为,xìngxíngwéi,"erotism, sexual activity, the sex act, sexual behaviour, eroticism, sex, sex activity, sexuality, sex act, intimacy"
823,界定,jièdìng,define
824,毒,dú,kill with poison
825,抵抗,dǐkàng,"resist, stand up to"
826,前任,qiánrèn,predecessor
827,各行各业,gèhánggèyè,"all professions, all trades, trades"
828,良性,liángxìng,"plus, benign, positive"
829,伴随,bànsuí,"accompany, follow"
830,抵抗,dǐkàng,"resist, stand up to"
831,依靠,yīkào,rely/depend on
832,来不及,láibùjí,"be too late to do sth.,"
833,州,zhōu,"state, an administrative division, county, nomarchy, administrative division, shire, cantonal, presidency, government, eparchy, (autonomous) prefecture, prefecture, province, canton, commonwealth"
834,依靠,yīkào,rely/depend on
835,异性,yìxìng,"metamerism, isomerism, heterosexual, opposite sex, different nature"
836,官僚,guānliáo,"bureaucrats, bureaucracy"
837,猴子,hóuzi5,"glib, ape, simian, glib/sharp-tongued person, clever, clever person, clever/glib/sharp-tongued person, monkey, sharp-tongued person, jackanapes"
838,再说,zàishuō,"furthermore, besides"
839,伴随,bànsuí,"accompany, follow"
840,收回,shōuhuí,"take back, call in, recall, withdraw, countermand"
841,肩膀,jiānbǎng,shoulder
842,疏忽,shūhū,"ignore, neglect"
843,白云,báiyún,white cloud
844,契机,qìjī,"moment, critical point, turning, turning point, juncture, moment o turning point, turning/critical point, momentum"
845,通俗,tōngsú,"pop, common, popular"
846,高潮,gāocháo,"water, high_tide, crescendo, coming, high tide/water, high tide, climax, upsurge, eagre, springtide, tidemark, sexual climax, blowoff, orgasm, culmination, payoff, wave, high, high water"
847,桃园县,táoyuánxiàn,Tao Yuan ( a County in Taiwan)
848,连战,liánzhàn,ex-vice-president of Taiwan
849,清理,qīnglǐ,"settle (accounts/etc.), sort out affairs"
850,疏忽,shūhū,"ignore, neglect"
851,动用,dòngyòng,"put to use, draw on, put ... to use, use, employ, employment"
852,表现出来,biǎoxiànchūlái,show
853,区隔,qūgé,"differentiate, set apart"
854,海豚,hǎitún,dolphin
855,抵,dǐ,arrive at
856,迫切,pòqiè,"imminent, imperative, pressing, urgent"
857,金属,jīnshǔ,"spangle, metallic, metalline, tincture, malleability, metal, metals in general"
858,恭喜,gōngxǐ,congratulate
859,书写,shūxiě,write
860,脂肪,zhīfáng,"grease, fat, axunge, adipose, fatness, avoirdupois, fattiness, adipose tissue, fatty tissue"
861,书写,shūxiě,write
862,捐赠,juānzèng,"contribute (as gift), donate, present"
863,展望,zhǎnwàng,look into the distance/future
864,处罚,chǔfá,"punish, penalize"
865,接触到,jiēchùdào,"come into contact with, get in touch with"
866,捐赠,juānzèng,"contribute (as gift), donate, present"
867,眼见,yǎnjiàn,"see sth. happen, watch helplessly"
868,舍不得,shěbùdé,"be grudge doing sth., spare, begrudge, loathe to part with"
869,帐,zhàng,"reckoning, score, account statement, debt, screen, bill, credit, curtain, account book, accounting, canopy, account, military tent, tally, accounts"
870,记载,jìzài,"record, account"
871,栽培,zāipéi,"cultivate, grow, foster, train, educate, give/receive patronage"
872,野心,yěxīn,"greed, careerism, ambition, ambitiousness, wild ambition"
873,书画,shūhuà,painting and calligraphy
874,炎热,yánrè,scorching/blazing hot
875,并购,bìnggòu,merge into
876,除,chú,"get rid of, eliminate, remove"
877,专利权,zhuānlìquán,"patent, monopoly, patent right, patent (right), concession, patent_right"
878,迎,yíng,"greet, go to meet, reception, meet face to face, face, receive, welcome, move towards, meet"
879,陪同,péitóng,accompany
880,改选,gǎixuǎn,hold another election
881,老旧,lǎojiù,old
882,老子,lǎozǐ,Lao-zi (founder of Daoism)
883,身影,shēnyǐng,"figure, silhouette, form"
884,改选,gǎixuǎn,hold another election
885,海滩,hǎitān,"seabeach, seaside, sea beach, foreshore, beach"
886,便民,biànmín,be convenient to the people
887,所幸,suǒxìng,luckily
888,空白,kòngbái,blank space
889,展望,zhǎnwàng,look into the distance/future
890,知名度,zhīmíngdù,celebrity rating
891,师院,shīyuàn,teachers' college
892,成大,chéngdà,National Cheng Kung University
893,爆炸,bàozhà,"explode, blow up"
894,落地,luòdì,"be born (of babies), born, fail, fall to the ground, be born"
